Order,Zone,Section,Peg,Angler,lbs,oz,drams,tg-pts,Weight,FormatLbs,FormatOz,FormatDram,TotalDrams,TotalWeight,ChkPts,SectionPoints,ZonePoints,MatchPos,SectionPos,ZonePos,MatchPosition,SctnIndex,ZnIndex,Index,Team,League,ZoneSctn,RiverBank,River,SectionPayout,ZonePayout
,A,1,1,Simon Bradley,8,0,,8,8-00,8,00,0,2048,8-00,-4,4,8,28,4th,8th,28th,1-4,A-8,A1.1,Simon Bradley & Alan Dorrian,white,A1,"Martham 
Candle Dyke",Thurne,,
,A,1,2,Mick Hanks,12,6,,5,12-06,12,06,0,3168,12-06,-2,3,5,12,3rd,5th,12th,1-3,A-5,A1.2,Mick Hanks & Martin Spence,white,A1,"Martham 
Candle Dyke",Thurne,,
,A,1,3,Brian Weavers,16,2,,3,16-02,16,02,0,4128,16-02,-1,2,3,3,2nd,3rd,3rd,1-2,A-3,A1.3,Brian Weavers & Mick Mirgaux,white,A1,"Martham 
Candle Dyke",Thurne,,3rd
,A,1,4,Richard Jacobs,20,15,,1,20-15,20,15,0,5360,20-15,0,1,1,1,1st,1st,1st,1-1,A-1,A1.4,Colin Blake & Richard Jacobs,white,A1,"Martham 
Candle Dyke",Thurne,1st,1st
,A,2,18,Dave Edwards,16,13,,2,16-13,16,13,0,4304,16-13,-1,1,2,2,1st,2nd,2nd,2-1,A-2,A2.18,Dave Edwards & Mike Rayner,white,A2,"Martham 
Ronds A",Thurne,1st,2nd
,A,2,19,Martin Johnson,1,9,,8,1-09,1,09,0,400,1-09,-3,5,8,36,5th,8th,36th,2-5,A-8,A2.19,Preston Gilding & Martin Johnson,white,A2,"Martham 
Ronds A",Thurne,,
,A,2,20,Tony Fattizzo,10,6,,7,10-06,10,06,0,2656,10-06,-3,4,7,18,4th,7th,18th,2-4,A-7,A2.20,Graham Coles & Adrian Parrott,white,A2,"Martham 
Ronds A",Thurne,,
,A,2,21,Billy Hughes,16,2,,3,16-02,16,02,0,4128,16-02,-1,2,3,3,2nd,3rd,3rd,2-2,A-3,A2.21,Billy Hughes & Steve O'Rourke,white,A2,"Martham 
Ronds A",Thurne,,3rd
,A,2,22,James Parnell,11,12,,6,11-12,11,12,0,3008,11-12,-3,3,6,13,3rd,6th,13th,2-3,A-6,A2.22,Derek Adcock & Dusty Kiddell,white,A2,"Martham 
Ronds A",Thurne,,
,B,3,23,Mark Murdoch,11,4,,2,11-04,11,04,0,2880,11-04,0,2,2,14,2nd,2nd,14th,3-2,B-2,B3.23,Mark Murdoch & Dave Pike,white,B3,"Martham 
Ronds B",Thurne,,
,B,3,24,Steve Clark,11,3,,3,11-03,11,03,0,2864,11-03,0,3,3,15,3rd,3rd,15th,3-3,B-3,B3.24,Paul Abbott & Steve Clark,white,B3,"Martham 
Ronds B",Thurne,,
,B,3,25,Robert Houlding,14,8,,1,14-08,14,08,0,3712,14-08,0,1,1,7,1st,1st,7th,3-1,B-1,B3.25,Dave Gooch & Robert Houlding,white,B3,"Martham 
Ronds B",Thurne,1st,
,B,3,26,Dave Parlett,8,3,,5,8-03,8,03,0,2096,8-03,-1,4,5,26,4th,5th,26th,3-4,B-5,B3.26,Dave Parlett & Mark Taylor,white,B3,"Martham 
Ronds B",Thurne,,
,B,4,27,Bob Nudd,7,13,,6,7-13,7,13,0,2000,7-13,-4,2,6,29,2nd,6th,29th,4-2,B-6,B4.27,Bob Nudd & John Taylor,white,B4,"Martham 
High's Mill A",Thurne,,
,B,4,28,Tony Gibbons,9,15,,4,9-15,9,15,0,2544,9-15,-3,1,4,19,1st,4th,19th,4-1,B-4,B4.28,Brian Bygrave & Tony Gibbons,white,B4,"Martham 
High's Mill A",Thurne,1st,
,B,4,29,Mick Burch,4,5,,8,4-05,4,05,0,1104,4-05,-4,5,8,33,4th,8th,33rd,4-4,B-8,B4.29,Mick Burch & Richard Watson,white,B4,"Martham 
High's Mill A",Thurne,,
,x,x,30,Ray King,7,11,,,7-11,7,11,0,1968,7-11,2,4,,31,,,,x-2,x-2,B4.30,Not Found,Not Found,B4,"Martham 
High's Mill A",Thurne,,
,B,4,31,Karl Dowse,5,2,,7,5-02,5,02,0,1312,5-02,-4,3,7,32,3rd,7th,32nd,4-3,B-7,B4.31,Gary Abbott & Karl Dowse,white,B4,"Martham 
High's Mill A",Thurne,,
,C,5,32,Richard Watson,2,14,,8,2-14,2,14,0,736,2-14,-4,4,8,35,4th,8th,35th,5-4,C-8,C5.32,Mick Burch & Richard Watson,white,C5,"Martham 
High's Mill B",Thurne,,
,C,5,33,Dusty Kiddell,7,12,,7,7-12,7,12,0,1984,7-12,-4,3,7,30,3rd,7th,30th,5-3,C-7,C5.33,Derek Adcock & Dusty Kiddell,white,C5,"Martham 
High's Mill B",Thurne,,
,C,5,34,John Taylor,8,3,,6,8-03,8,03,0,2096,8-03,-4,2,6,26,2nd,6th,26th,5-2,C-6,C5.34,Bob Nudd & John Taylor,white,C5,"Martham 
High's Mill B",Thurne,,
,C,5,35,Brian Bygrave,9,2,,4,9-02,9,02,0,2336,9-02,-3,1,4,21,1st,4th,21st,5-1,C-4,C5.35,Brian Bygrave & Tony Gibbons,white,C5,"Martham 
High's Mill B",Thurne,1st,
,C,6,15,Robin Austrin,8,6,,5,8-06,8,06,0,2144,8-06,-1,5,5,25,4th,5th,25th,6-4,C-5,C6.15,Dave Edwards & Mike Rayner,white,C6,"Potter Heigham
Ronds",Thurne,,
,C,6,14,Keanu High,10,8,,,10-08,10,08,0,2688,10-08,1,3,,17,,,,x-1,x-1,C6.14,Not Found,Not Found,C6,"Potter Heigham
Ronds",Thurne,,
,C,6,13,Alan Dorrian,13,15,,2,13-15,13,15,0,3568,13-15,0,2,2,8,2nd,2nd,8th,6-2,C-2,C6.13,Simon Bradley & Alan Dorrian,white,C6,"Potter Heigham
Ronds",Thurne,,
,C,6,12,Colin Blake,9,5,,3,9-05,9,05,0,2384,9-05,0,4,3,20,3rd,3rd,20th,6-3,C-3,C6.12,Colin Blake & Richard Jacobs,white,C6,"Potter Heigham
Ronds",Thurne,,
,C,6,11,Dave Pike,15,3,,1,15-03,15,03,0,3888,15-03,0,1,1,5,1st,1st,5th,6-1,C-1,C6.11,Mark Murdoch & Dave Pike,white,C6,"Potter Heigham
Ronds",Thurne,1st,5th
,D,7,10,Paul Abbott,12,13,,3,12-13,12,13,0,3280,12-13,-2,1,3,10,1st,3rd,10th,7-1,D-3,D7.10,Paul Abbott & Steve Clark,white,D7,"Potter Heigham
Stagings",Thurne,1st,
,D,7,9,Preston Gilding,3,9,,8,3-09,3,09,0,912,3-09,-3,5,8,34,5th,8th,34th,7-5,D-8,D7.9,Preston Gilding & Martin Johnson,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,8,Mark Taylor,9,0,,7,9-00,9,00,0,2304,9-00,-4,3,7,23,3rd,7th,23rd,7-3,D-7,D7.8,Dave Parlett & Mark Taylor,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,7,Martin Spence,10,10,,5,10-10,10,10,0,2720,10-10,-3,2,5,16,2nd,5th,16th,7-2,D-5,D7.7,Mick Hanks & Martin Spence,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,6,Gary Abbott,8,7,,8,8-07,8,07,0,2160,8-07,-4,4,8,24,4th,8th,24th,7-4,D-8,D7.6,Gary Abbott & Karl Dowse,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,8,5,Adrian Parrott,9,2,,6,9-02,9,02,0,2336,9-02,-2,4,6,21,4th,6th,21st,8-4,D-6,D8.5,Graham Coles & Adrian Parrott,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,4,Mick Mirgaux,12,15,,2,12-15,12,15,0,3312,12-15,0,2,2,9,2nd,2nd,9th,8-2,D-2,D8.4,Brian Weavers & Mick Mirgaux,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,1,Steve O'Rourke,12,12,,4,12-12,12,12,0,3264,12-12,-1,3,4,11,3rd,4th,11th,8-3,D-4,D8.1,Billy Hughes & Steve O'Rourke,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,1a,Dave Gooch,15,2,,1,15-02,15,02,0,3872,15-02,0,1,1,6,1st,1st,6th,8-1,D-1,D8.1a,Dave Gooch & Robert Houlding,white,D8,"Potter Heigham
Stagings",Thurne,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
